llava-13b,medgemma-27b,qwen-7b
"{'green_score': 0.6667, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 0, 'summary': ""The AI-generated report shows some errors in terms of tumor location and size, but overall, it provides a reasonable assessment of the lesion's characteristics and recommends further evaluation."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the right frontal lobe.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some clinically meaningful errors, including incorrect location and missing information about significant necrosis.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the significant necrosis, accounting for 14.23% of the tumor volume.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 5, 'insignificant_errors': 2, 'summary': 'The AI-generated candidate report contains significant errors regarding tumor location, size, diagnosis, and management recommendations. It also lacks important details such as volumetric analysis and radiomic features.', 'sig_error_list': ""The candidate report incorrectly locates the tumor in the left temporal lobe instead of the right frontal lobe.; The candidate report underestimates the size of the tumor, describing it as approximately 3 cm when the reference report describes it as measuring approximately 88.48 mm in maximum diameter.; The candidate report does not mention significant necrosis accounting for 14.23% of the tumor's volume.; The candidate report incorrectly diagnoses a Grade II glioblastoma (WHO CNS5 Grade II) instead of a Grade 4 IDH-wildtype glioblastoma.; The candidate report does not discuss surgical oncology, radiation/medical oncology, or RTOG/RANO guidelines.""}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated candidate report shows some errors in diagnosis, findings, and recommendations. While it correctly identifies a brain tumor, it misclassifies its grade and fails to mention important details about ependymal contact and radiation therapy contouring modifications.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor, whereas the reference report suggests a Grade 4 glioblastoma.; The candidate report does not mention ependymal contact or CTV expansion to include the ipsilateral ventricular wall, which is an important finding in the reference report.; The candidate report does not provide specific recommendations for radiation therapy contouring modifications and warnings.'}","{'green_score': 0.6667, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows a significant error in tumor location, which could impact diagnosis and treatment planning.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, extending towards the parietal lobe, whereas the reference report correctly identifies it as located in the right frontal lobe.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some errors in terms of location and missing details, but overall it provides a reasonable assessment of the tumor as a high-grade glioma. However, the lack of specific information about the ependymal contact and the incorrect location of the tumor are significant errors that require attention.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe instead of the right frontal lobe.; The candidate report does not mention the ependymal contact, which is a significant finding in the reference report.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 3, 'summary': ""The AI-generated candidate report is generally accurate but lacks significant details about the tumor's size, necrosis proportion, and peritumoral edema. It also uses more general terms instead of specific WHO CNS5 Framework diagnosis."", 'sig_error_list': 'The candidate report does not mention the size of the tumor, which is a significant finding in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains two significant errors: incorrect tumor location and failure to mention necrosis. These errors could lead to misdiagnosis or inadequate treatment planning.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report does not mention the presence of necrosis, which is a significant feature mentioned in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors, including incorrect location of the tumor and a different diagnosis. However, it also correctly identifies the presence of necrosis and edema, indicating that the AI model has learned to recognize these features. Overall, the report requires further refinement to achieve clinical accuracy.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe instead of the left frontal lobe.'}"
"{'green_score': 0.1667, 'hallucination_score': 0.75, 'matched_findings': 1, 'significant_errors': 3, 'insignificant_errors': 2, 'summary': 'The AI-generated candidate report demonstrates significant errors in diagnosis and omission of crucial findings compared to the reference report. While it provides some general information about the tumor, it lacks critical details that are essential for accurate clinical management and treatment planning.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor, whereas the reference report suggests a Grade 4 glioblastoma.; The candidate report does not mention ependymal contact and proximity to the ventricular system, which are significant findings in the reference report.; The candidate report does not provide any information about the molecular subtype (IDH-wildtype) or the presence of necrosis, which is a crucial aspect of the diagnosis in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some significant errors in terms of tumor location and missing details about ependymal contact. However, it correctly identifies the presence of a large, infiltrative mass with central necrosis and surrounding edema, which is highly suggestive of a high-grade glioma.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report states it is located in the right frontal lobe.; The candidate report does not mention the ependymal contact and proximity to the ventricular system, which are present in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains significant errors in terms of tumor location and diagnosis. It also lacks the detailed radiomic analysis and clinical management recommendations present in the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left parietal lobe instead of the right frontal lobe.; The candidate report misclassifies the tumor as a Grade III Anaplastic Astrocytoma, whereas the reference report suggests a Grade 4 glioblastoma with an IDH-wildtype molecular subtype.'}"
"{'green_score': 0.625, 'hallucination_score': 0.2857, 'matched_findings': 5, 'significant_errors': 2, 'insignificant_errors': 1, 'summary': 'The AI-generated report shows some significant errors in diagnosis and description of findings, but also correctly identifies several key features of the tumor. Overall, the report requires further refinement to accurately reflect the radiological and clinical information presented in the reference report.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor instead of the correct diagnosis of Grade 4 glioblastoma.; The candidate report does not mention the presence of necrosis, which is estimated to be 19.42% in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors, including incorrect location of the tumor. However, it also correctly identifies the presence of a large necrotic core and surrounding edema, which are key features of high-grade gliomas. Further evaluation with the complete imaging series and clinical correlation is necessary to confirm the diagnosis and guide management.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is in the right frontal lobe.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 4, 'insignificant_errors': 2, 'summary': 'The candidate report contains significant errors in terms of location, size, diagnosis, and missed findings. The report also lacks critical information regarding radiomic features, clinical management, and prescriptions.', 'sig_error_list': 'Wrong location (left parietal lobe instead of right frontal lobe); Wrong size (3.5 cm instead of approximately 77.78 mm in maximum diameter); Wrong diagnosis (WHO CNS5 Grade III tumor, likely a glioblastoma multiforme (GBM) instead of Grade 4 glioblastoma with an IDH-wildtype molecular subtype); Missed finding (ependymal contact and proximity to the ventricular system)'}"
"{'green_score': 0.3333, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors, including incorrect location of the tumor. However, it also correctly identifies the presence of necrosis and suggests further imaging and multidisciplinary consultation for treatment planning.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.'}","{'green_score': 0.5, 'hallucination_score': 0.2857, 'matched_findings': 5, 'significant_errors': 2, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors regarding the location and size of the tumor, but also demonstrates some minor inconsistencies in terminology. Overall, the report provides a reasonable summary of the findings, but requires further evaluation with the full MRI series and clinical correlation to confirm the diagnosis.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the right frontal lobe.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 4, 'insignificant_errors': 2, 'summary': 'The AI-generated candidate report contains significant errors in terms of tumor location, diagnosis, and recommendations. It also lacks important information about necrosis and its significance in the diagnosis.', 'sig_error_list': ""The candidate report incorrectly locates the enhancing nodule in the left temporal lobe, whereas the reference report describes a tumor predominantly located in the right frontal lobe.; The candidate report diagnoses the tumor as WHO CNS5 Grade 3 (Anaplastic Astrocytoma), which is incorrect; the reference report suggests Glioblastoma, WHO Grade IV, IDH-wildtype.; The candidate report does not mention necrosis or its significance in the diagnosis, whereas the reference report highlights the presence of necrosis as supporting a diagnosis of glioblastoma.; The candidate report recommends biopsy and treatment with radiation therapy and chemotherapy without considering the patient's frontal predominance or the RTOG guidelines.""}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some significant errors in terms of diagnosis and missing information about necrosis. However, it correctly identifies the location and size of the tumor.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor instead of the correct diagnosis of Grade 4 glioblastoma.; The candidate report does not mention the presence of necrosis, which is an important feature in the reference report.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 5, 'insignificant_errors': 2, 'summary': 'The AI-generated radiology report contains significant errors in tumor location, surrounding edema, and WHO CNS5 grade. Additionally, it lacks important clinical management and prescription recommendations.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report does not mention the ependymal contact and surrounding edema, which are significant findings in the reference report.; The candidate report does not specify the WHO CNS5 grade as Grade 4 glioblastoma with an IDH-wildtype molecular subtype.; The candidate report does not include RTOG radiation contouring modifications or RANO warnings.; The candidate report incorrectly suggests that SRS is a primary modality for lesions > 30mm, whereas the reference report states it is contraindicated.'}","{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': ""The AI-generated candidate report contains significant errors regarding the tumor's location, molecular diagnosis, and treatment recommendations. While it correctly identifies the presence of a heterogeneous mass with surrounding edema, it lacks critical details that are present in the reference report."", 'sig_error_list': ""The candidate report incorrectly locates the tumor in the left temporal lobe instead of the left frontal lobe.; The candidate report does not mention the ependymal contact and ventricular proximity, which is a significant finding in the reference report.; The candidate report does not provide a specific molecular diagnosis (IDH-wildtype) or discuss its implications for treatment decisions.; The candidate report recommends biopsy without considering the patient's frontal predominance and dominant hemisphere involvement.""}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated candidate report shows some significant errors in terms of diagnosis and missing features, but it also correctly identifies the presence of a tumor and its location.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor, whereas the reference report suggests a Grade 4 glioblastoma.; The candidate report does not mention the presence of necrosis, which is an important feature in the reference report.; The candidate report does not provide specific recommendations for surgical oncology and radiation/medical oncology, unlike the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some errors in terms of tumor location and missing details about ependymal contact. However, it correctly identifies the lesion as a high-grade glioma and suggests further imaging and multidisciplinary discussion for treatment planning.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the presence of ependymal contact and proximity to the ventricular system, which is a significant finding in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated report contains significant errors regarding the location and diagnosis of the tumor, as well as hallucinated pathology. Additionally, there is an insignificant error in wording. Overall, the candidate report requires substantial revision to accurately reflect the findings and recommendations outlined in the reference report.', 'sig_error_list': 'Wrong location (left temporal lobe instead of right frontal lobe); Wrong diagnosis (WHO CNS5 Grade instead of Grade 4 glioblastoma with IDH-wildtype molecular subtype); Hallucinated pathology (necrosis not mentioned in reference report, but present in candidate report)'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report has some significant errors regarding the tumor's characteristics, but overall it provides a correct diagnosis of high-grade glioma. However, it lacks specific details about the tumor's size, location, and proximity to the ventricular system, which are present in the reference report."", 'sig_error_list': 'The candidate report does not mention the tumor\'s volume, location in the right frontal lobe, or proximity to the ventricular system.; The candidate report incorrectly states that the tumor is ""actively growing"" and ""more aggressive"", as this information is not present in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated radiology report contains two significant errors: incorrect location of the tumor and failure to mention the presence of necrosis.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the presence of necrosis, which is a significant finding in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The candidate report contains significant errors in terms of tumor location and diagnosis, whereas it accurately reports the presence of necrosis and peritumoral edema.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe, whereas the reference report indicates it is primarily located in the right frontal lobe.; The candidate report diagnoses a WHO CNS5 Grade II glioblastoma multiforme (GBM) or similar grade II glioma, which is incorrect. The reference report correctly diagnoses a WHO Grade 4 Glioblastoma, IDH-wildtype.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated report shows some significant errors in terms of tumor location, presence of necrosis, and specific diagnosis. However, it still captures the main finding of a brain tumor and provides some relevant recommendations.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the presence of necrosis, which is a significant finding in the reference report.; The candidate report does not provide a specific diagnosis (Grade 4 glioblastoma) and instead suggests possible diagnoses (anaplastic astrocytoma or glioblastoma multiforme).'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains two significant errors: it incorrectly locates the tumor and fails to mention the presence of necrosis. These errors could lead to incorrect diagnoses and treatment plans.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the presence of necrosis, which is a significant finding in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some errors in tumor location and missing details about ependymal contact. However, it correctly identifies the presence of necrosis and peritumoral edema, which are key findings in the reference report. Overall, the candidate report requires significant revisions to accurately reflect the radiological findings and provide a reliable diagnosis.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left parietal lobe, whereas the reference report describes it as primarily located in the right frontal lobe.; The candidate report does not mention the presence of ependymal contact or proximity to the ventricular system, which is a significant finding in the reference report.'}"
"{'green_score': 0.625, 'hallucination_score': 0.2857, 'matched_findings': 5, 'significant_errors': 2, 'insignificant_errors': 1, 'summary': ""The AI-generated report is generally accurate in describing the tumor's characteristics and potential diagnosis. However, it lacks specific details about the tumor's location and grade, which are clinically significant. Additionally, the report could benefit from more concise language and formatting to improve readability."", 'sig_error_list': ""The candidate report does not mention the tumor's location in the right frontal lobe and midline crossing.; The candidate report does not provide a specific grade for the glioblastoma, whereas the reference report specifies Grade 4.""}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 2, 'insignificant_errors': 1, 'summary': 'The AI-generated report contains significant errors regarding the location and presence of necrosis, while also exhibiting minor differences in style and phrasing.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention necrosis accounting for approximately 4.09% of the tumor volume, which is present in the reference report.'}","{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': 'The candidate report contains significant errors regarding the location, grade, and pathology of the tumor. It also misses several clinically important findings present in the reference report.', 'sig_error_list': 'Wrong location of the tumor (left parietal lobe instead of right frontal lobe); Wrong WHO CNS5 Grade (Grade II Anaplastic Astrocytoma instead of Grade 4 glioblastoma); Hallucinated pathology (absence of necrosis and heterogeneous intensity profile); Missed finding (absence of cortical involvement, midline crossing, and ependymal contact)'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': ""The candidate report shows some significant errors, including a wrong diagnosis and missed findings. Additionally, it lacks important details about the patient's condition, such as the presence of necrosis and ependymal contact. However, it does correctly identify the enhancing tumor and peritumoral edema. Overall, the report requires significant revisions to accurately reflect the patient's condition and provide meaningful recommendations."", 'sig_error_list': 'Wrong diagnosis (Grade 4 glioblastoma instead of Grade III); Missed finding (ependymal contact and proximity to the left ventricular wall); Hallucinated pathology (no mention of IDH-wildtype molecular subtype or cortical involvement)'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated radiology report contains one significant error regarding the location of the tumor, which is clinically meaningful. Additionally, there are some minor errors related to wording and formatting differences between the two reports.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the left frontal lobe as stated in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some clinically meaningful errors, including incorrect tumor location and missing significant findings. However, it also correctly identifies the heterogeneous mass and necrosis, indicating potential for improvement with further training.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe instead of the left frontal lobe.; The candidate report does not mention the presence of ependymal contact and proximity to the left ventricular wall, which is a significant finding in the reference report.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated report is lacking in detail and fails to provide specific diagnostic information. While it correctly identifies the presence of necrosis, it does not provide a clear diagnosis or recommendations for clinical management.', 'sig_error_list': ""The candidate report does not mention the tumor's volume, maximum diameter, or proximity to the ventricular system.; The candidate report incorrectly suggests that the enhancing part of the tumor is more aggressive, whereas in reality, it may be a sign of increased blood flow and not necessarily indicative of aggressiveness.; The candidate report fails to provide a specific diagnosis (WHO Grade 4 Glioblastoma, IDH-wildtype) and instead provides a general assessment.""}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated radiology report contains significant errors regarding the tumor's location and the absence of information about necrosis, which are crucial for an accurate diagnosis."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is primarily located in the left frontal lobe.; The candidate report does not mention the presence of necrosis (23.6%) and its implications on the diagnosis.'}","{'green_score': 0.6667, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains a significant error in diagnosing the tumor, which is clinically meaningful and requires correction.', 'sig_error_list': 'The candidate report incorrectly diagnoses the tumor as WHO CNS5 Grade III (Anaplastic Astrocytoma) instead of WHO Grade 4 Glioblastoma, IDH-wildtype.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated report shows some significant errors, including incorrect location and diagnosis. Additionally, it lacks important clinical management and prescription information present in the reference report.', 'sig_error_list': 'Wrong location (left frontal lobe in reference vs right temporal lobe in candidate); Wrong diagnosis (Grade 4 IDH-wildtype glioblastoma in reference vs likely Grade III or IV high-grade glioma in candidate); Hallucinated pathology (RTOG radiation contouring modifications and RANO warnings not present in candidate report)'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 2, 'insignificant_errors': 1, 'summary': 'The AI-generated radiology report contains significant errors in terms of tumor location and diagnosis. Additionally, there are minor differences in wording and style between the two reports.', 'sig_error_list': ""The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report diagnoses a glioblastoma (WHO Grade IV) based on the presence of necrosis and heterogeneous enhancement, which is not supported by the reference report's findings.""}","{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': ""The AI-generated report contains significant errors in terms of tumor location, diagnosis, and missing important findings. It also lacks critical information about the tumor's heterogeneity, ependymal contact, and necrosis proportion."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe instead of the left frontal lobe.; The candidate report does not mention the significant heterogeneity and ependymal contact/proximity to the ventricular system, which are present in the reference report.; The candidate report incorrectly diagnoses a Grade 3 Anaplastic Astrocytoma instead of a high-grade glioblastoma (Grade 4).; The candidate report does not mention the presence of necrosis and its proportion.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report shows some errors in terms of tumor grading and missing relevant details about the lesion's location and characteristics. However, it does correctly identify the presence of an enhancing tumor and provides general recommendations for further evaluation and treatment."", 'sig_error_list': 'The candidate report incorrectly identifies the tumor as Grade III, whereas the reference report suggests a high-grade glioma (WHO Grade IV).; The candidate report does not mention the ependymal lining of the ventricle or cortical involvement, which are significant findings in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some significant errors in terms of tumor location and missing details about its proximity to the ependymal lining. However, it correctly identifies the tumor as a high-grade glioma with necrosis and edema, which is consistent with the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the proximity to the ependymal lining of the ventricle, which is present in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains two significant errors: incorrect location and misclassification of the tumor.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe instead of the right frontal lobe.; The candidate report misclassifies the tumor as WHO CNS5 Grade III (Anaplastic Astrocytoma) instead of high-grade glioma, WHO Grade IV.'}"
